Name,Discord,Playing Launch,Playing Beta,UBG Discord,AE Discord,UBG Guilded,AE Discord,Guild,Notes,Discord Id
 RememberDolores,RememberDolores#2565,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,235443731346489344
 Methos,Methos#1551,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,323694130318540818
 Yurim,Yurim#3929,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,187381680770646017
 Hulka,Hulka#2992,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,293444340909604864
 Bobik,Bobik#0001,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,159645956852154368
 Axlor,axlor#2810,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,126146875404451840
 Jason Todd,Jason Todd#5686,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,557328684986400768
 Brother Cacti,Brother_cacti#9361,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,448186731276009483
 Stuck,Brad B.#1109,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,444929669444272139
 Fropie,Fropie#6501,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,142287338410606592
 Berethain,Berethain#0964,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,205456575358304267
 Hypnotise,Doll#0353,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,134524664675434497
 Hugo,Hugo#0999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,182336702222696448
 Skullkid,skullkid#7724,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,248882780505636864
 Balrod,Balrod#0619,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,424249011080265739
 PotatoEscobar,PotatoEscobar#7803,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,187118034064900105
 General Snuggles,General Snuggles#6368,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,226173556734689281
 Vesnan,willf#8096,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,149423146171105280
 grimlok49,grimlock49#0403,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAX,,210232479913738241
